<Statuses>
	<StatusEvent>
		<ConsignmentNumber>DME184987</ConsignmentNumber>
		<UniqueId></UniqueId>
		<SenderReference>294509</SenderReference>
		<StatusDateTime>07/10/2021 00:01 +11:00</StatusDateTime>
		<Status>Assigned</Status>
		<StatusTag></StatusTag>
	</StatusEvent>
<StatusEvent>
		<ConsignmentNumber>PLX018744</ConsignmentNumber>
		<UniqueId>94d24ce0-a2b0-4c17-8dd2-17d60fe8aa0b</UniqueId>
		<SenderReference>87948</SenderReference>
		<StatusDateTime>07/10/2021 00:03 +11:00</StatusDateTime>
		<Status>PickupReceived</Status>
		<StatusTag></StatusTag>
	</StatusEvent>
</Statuses>
